id,title,intervention_name,summary,public_summary,link,citation,program_success,city,geography,region,source_type,race,intervention_goal,implementers,scale,country,program_components,population,status
240,Kentucky State Police Angel Initiative ,Other,"The Angel Initiative encourages individuals seeking addiction treatment to visit a Kentucky State Police post, where he or she will be paired with a local officer who will assist with locating an appropriate treatment program. It is completely voluntary, and the individual will not be arrested or charged with any violations if he or she agrees to participate in treatment. The program will be operated in conjunction with Gov. Bevin’s “Don’t Let Them Die” campaign, aimed at raising awareness of the opioid epidemic and offering treatment resources to fight addiction.","The Angel Initiative encourages individuals seeking addiction treatment to visit a Kentucky State Police post, where he or she will be paired with a local officer who will assist with locating an appropriate treatment program. It is completely voluntary, and the individual will not be arrested or charged with any violations if he or she agrees to participate in treatment. The program will be operated in conjunction with Gov. Bevin’s “Don’t Let Them Die” campaign, aimed at raising awareness of the opioid epidemic and offering treatment resources to fight addiction.",http://kentuckystatepolice.org/angel-initiative/,"Kentucky State Police Angel Initiative. Retrieved August 8, 2018 from http://kentuckystatepolice.org/angel-initiative/",No Evaluation,,KY,General,Community Example,,Treatment,Police,Community,Domestic,Linkage to Services,General,REVOKED
241,The Children and Recovering Mothers (CHARM) Collaborative ,Other,"The Children and Recovering Mothers (CHARM) Collaborative in Burlington, Vermont, is a multidisciplinary group of ten agencies that collectively serve women with opioid addiction and their families during pregnancy and infancy.  Members of the CHARM Collaborative meet once a month for two hours to discuss the needs of client families and how to address these needs. Decisions about solutions and follow‐up tasks are made for each family before the next family is discussed. Typically, about 40 families are discussed at each meeting. The CHARM process avoids problems resulting from conflicting information about patient health, progress in recovery, and behavior. The benefits of CHARM to families include healthier pregnancies, healthier babies, and a greater chance to remain together or be reunified. Since CHARM began, access to MAT for pregnant women has increased, and women are receiving treatment earlier in their pregnancies. There is a trend toward increased birth weight, and fewer babies require pharmacological treatment for withdrawal symptoms after discharge from the hospital. Some babies requiring treatment after discharge are able to complete that treatment at home. The linked report describes and examines two aspects of the CHARM Collaborative: 1) the multiple points of intervention for families and 2) the collaborative practice elements across systems (Substance Abuse and Mental Health Services Administration, 2016).","The Children and Recovering Mothers (CHARM) Collaborative in Burlington, Vermont, is a multidisciplinary group of ten agencies that collectively serve women with opioid addiction and their families during pregnancy and infancy.  Members of the CHARM Collaborative meet once a month for two hours to discuss the needs of client families and how to address these needs. Decisions about solutions and follow‐up tasks are made for each family before the next family is discussed. Typically, about 40 families are discussed at each meeting. The CHARM process avoids problems resulting from conflicting information about patient health, progress in recovery, and behavior. The benefits of CHARM to families include healthier pregnancies, healthier babies, and a greater chance to remain together or be reunified. Since CHARM began, access to MAT for pregnant women has increased, and women are receiving treatment earlier in their pregnancies. There is a trend toward increased birth weight, and fewer babies require pharmacological treatment for withdrawal symptoms after discharge from the hospital. Some babies requiring treatment after discharge are able to complete that treatment at home. The linked report describes and examines two aspects of the CHARM Collaborative: 1) the multiple points of intervention for families and 2) the collaborative practice elements across systems (Substance Abuse and Mental Health Services Administration, 2016).",https://store.samhsa.gov/shin/content//SMA16-4978/SMA16-4978.pdf,"Substance Abuse and Mental Health Services Administration. (2016). A Collaborative Approach to the Treatment of Pregnant Women with Opioid Use Disorders. HHS Publication No. (SMA) 16-4978. Rockville, MD: Substance Abuse and Mental Health Services Administration. Retrieved from: https://store.samhsa.gov/shin/content//SMA16-4978/SMA16-4978.pdf",Report Recommendation,Burlington,VT,General,Community Example,,"Harm Reduction,Treatment","Health Care Providers,Mental Health Care Providers,Pharmacists,State Officials,Community Officials,Recovery Community,Non-Governmental Community Organization","Community,County,State",Domestic,Wrap-Around Services,"Pregnant Women,Women of Childbearing Age,Neonates",APPROVED
242,This is (Not) About Drugs ,Youth Education Program,"The “This is (Not) About Drugs” educational program is designed for students grades 6-12th as an effective lesson for helping raise awareness to the risks of misusing prescription opioids. According to the site, After completing the lesson, students will know and understand: (1) The risks of prescription pain drug misuse, (2) How misuse can lead to addiction, heroin use, overdose, and death (3) Understand the disease of addiction and the impact on the individual and the family and friends (4) Encourage students to make good choices (5) Alternatives to using substances in dealing with life stresses (6) The many ways to ask for help and available information and resources

","The “This is (Not) About Drugs” educational program is designed for students grades 6-12th as an effective lesson for helping raise awareness to the risks of misusing prescription opioids. According to the site, After completing the lesson, students will know and understand: (1) The risks of prescription pain drug misuse, (2) How misuse can lead to addiction, heroin use, overdose, and death (3) Understand the disease of addiction and the impact on the individual and the family and friends (4) Encourage students to make good choices (5) Alternatives to using substances in dealing with life stresses (6) The many ways to ask for help and available information and resources

",https://www.overdose-lifeline.org/opioid-heroin-prevention-education-program.html,"This is (Not) About Drugs. (n.d.). Retrieved August 8, 2018 from https://www.overdose-lifeline.org/opioid-heroin-prevention-education-program.html",Evaluation Found Statistically Significant Benefit,,"CA,CT,GA,IL,IN,KY,MD,MA,MI,NV,NC,ND,OH,PA,SD,VA,WA,WV,WI",Not Specified,Community Example,Not Specified in Source,Prevention,Schools,Community,Domestic,,Youth,APPROVED
244,Lock Your Meds Idaho Media Campaign,Public Awareness Campaign,"""The “Lock Your Meds Idaho” campaign is a statewide public health campaign targeted at adults 35 and older with teenagers living in the household to prevent diversion among youth and other individuals seeking to abuse medications. The campaign is supported by the Prescription Drug Abuse Prevention Workgroup, under the direction of the Idaho Office of Drug Policy and funds of the Idaho Millennium Fund. The campaign evaluation showed that over 66 percent of Idahoans heard the message which changed storage habits for 16 percent. The evaluation also showed a statistically significant increase in concern of risk among parents of teenagers."" (Idaho Department of Health and Welfare, 2017) ","""The “Lock Your Meds Idaho” campaign is a statewide public health campaign targeted at adults 35 and older with teenagers living in the household to prevent diversion among youth and other individuals seeking to abuse medications. The campaign is supported by the Prescription Drug Abuse Prevention Workgroup, under the direction of the Idaho Office of Drug Policy and funds of the Idaho Millennium Fund. The campaign evaluation showed that over 66 percent of Idahoans heard the message which changed storage habits for 16 percent. The evaluation also showed a statistically significant increase in concern of risk among parents of teenagers."" (Idaho Department of Health and Welfare, 2017) ",http://lockyourmedsidaho.org/, Idaho Department of Health and Welfare. (2017).  Opioid Needs Assessment Idaho. Retrieved from https://healthandwelfare.idaho.gov/Portals/0/Medical/SUD/IROC/OpioidSTRNeedsAssessmentUpdatOct2017.pdf,Evaluation Found Statistically Significant Benefit,,ID,General,Other,Not Specified in Source,Prevention,Anti-Drug Coalition,State,Domestic,Communication,Adults,APPROVED
245,Truth 208 Campaign ,Public Awareness Campaign,"""Youth 208 is a youth prescription drug misuse media campaign and education series that reveals the truth about prescription drug misuse. The messaging focuses on making adolescents and teens aware of the harmps of prescription drugs through TV, radio, bus ads, billboards and digital advertising. Additionally, an education component is available for Idaho schools, juvenile detention facilities, and drug courts to bring in speakers to present factual information on prescription drug use.  Truth 208 has also implemented the environmental strategies of establishing drug take back programs in 46 law enforcement locations statewide, hosting take back days in each public health district, and providing free posters and rack cards in English and Spanish to the public."" (Idaho Department of Health and Welfare, 2017)","""Youth 208 is a youth prescription drug misuse media campaign and education series that reveals the truth about prescription drug misuse. The messaging focuses on making adolescents and teens aware of the harmps of prescription drugs through TV, radio, bus ads, billboards and digital advertising. Additionally, an education component is available for Idaho schools, juvenile detention facilities, and drug courts to bring in speakers to present factual information on prescription drug use.  Truth 208 has also implemented the environmental strategies of establishing drug take back programs in 46 law enforcement locations statewide, hosting take back days in each public health district, and providing free posters and rack cards in English and Spanish to the public."" (Idaho Department of Health and Welfare, 2017)",http://www.truth208.org/,Idaho Department of Health and Welfare. (2017). Opioid Needs Assessment Idaho. Retrieved from https://healthandwelfare.idaho.gov/Portals/0/Medical/SUD/IROC/OpioidSTRNeedsAssessmentUpdatOct2017.pdf,No Evaluation Presented in Source,,ID,General,Other,,Prevention,Non-Governmental Community Organization,State,Domestic,Communication,Youth,APPROVED
246,Law Enforcement Assisted Diversion (LEAD® ),Other,"In a LEAD® program, police officers exercise discretionary authority at point of contact to divert individuals to a community-based, harm-reduction intervention for law violations driven by unmet behavioral health needs. In lieu of the normal criminal justice system cycle -- booking, detention, prosecution, conviction, incarceration -- individuals are instead referred into a trauma-informed intensive case-management program where the individual receives a wide range of support services, often including transitional and permanent housing and/or drug treatment. Prosecutors and police officers work closely with case managers to ensure that all contacts with LEAD® participants going forward, including new criminal prosecutions for other offenses, are coordinated with the service plan for the participant to maximize the opportunity to achieve behavioral change. Over the entire course of the evaluation to date, people in LEAD® were 58% less likely than people in the control group to be arrested. Participants were significantly more likely to obtain housing, employment and legitimate income in any given month subsequent to their LEAD® referral (i.e., during the 18-month follow-up) compared to the month prior to their referral (i.e., baseline) (""LEAD National Support Bureau"", 2016). This reference is listed under USDA's rural opioid resources. ","In a LEAD® program, police officers exercise discretionary authority at point of contact to divert individuals to a community-based, harm-reduction intervention for law violations driven by unmet behavioral health needs. In lieu of the normal criminal justice system cycle -- booking, detention, prosecution, conviction, incarceration -- individuals are instead referred into a trauma-informed intensive case-management program where the individual receives a wide range of support services, often including transitional and permanent housing and/or drug treatment. Prosecutors and police officers work closely with case managers to ensure that all contacts with LEAD® participants going forward, including new criminal prosecutions for other offenses, are coordinated with the service plan for the participant to maximize the opportunity to achieve behavioral change. Over the entire course of the evaluation to date, people in LEAD® were 58% less likely than people in the control group to be arrested. Participants were significantly more likely to obtain housing, employment and legitimate income in any given month subsequent to their LEAD® referral (i.e., during the 18-month follow-up) compared to the month prior to their referral (i.e., baseline) (""LEAD National Support Bureau"", 2016). This reference is listed under USDA's rural opioid resources. ",https://www.leadbureau.org,LEAD National Support Bureau. (2016). [Website]. Retrieved from https://www.leadbureau.org,Significant Improvement,,"CA,CO,CT,DE,GA,HI,KY,LA,ME,MD,MA,MI,MN,NV,NH,NM,NY,NC,OH,OR,PA,RI,TX,VA,WA,WV,WI",General,Community Example,Not Specified in Source,"Prevention,Harm Reduction",Police,"Community,County",Domestic,Linkage to Services,General,APPROVED
247,AIDS Project Worcester (APW),Community Distribution of Naloxone,"The prevention and screening department (P&S) offers free HIV and Hepatitis C tests to under-served and marginalized populations. It also educates and distributes naloxone, through the Joe McKee Care Center to active users of opiates, their families, and those who frequently interact with active users in Central Massachusetts. In 2013 staff trained and distributed naloxone to 441 individuals with 56 documented overdose reversals. In 2014 staff trained and distributed naloxone to 1,086 individuals with 182 reported overdose reversals. There is no copay at APW for naloxone (Aids Project Worcester (APW), 2018 & GuideStar Profile, 2018). This reference is listed under USDA's rural opioid resources. ","The prevention and screening department (P&S) offers free HIV and Hepatitis C tests to under-served and marginalized populations. It also educates and distributes naloxone, through the Joe McKee Care Center to active users of opiates, their families, and those who frequently interact with active users in Central Massachusetts. In 2013 staff trained and distributed naloxone to 441 individuals with 56 documented overdose reversals. In 2014 staff trained and distributed naloxone to 1,086 individuals with 182 reported overdose reversals. There is no copay at APW for naloxone (Aids Project Worcester (APW), 2018 & GuideStar Profile, 2018). This reference is listed under USDA's rural opioid resources. ",http://www.aidsprojectworcester.org/narcan/,Aids Project Worcester (APW). (2018). Narcan. Retrieved from http://www.aidsprojectworcester.org/narcan/;  GuideStar Profile. (2018). AIDS Project Worcester Inc. Retrieved from https://www.guidestar.org/profile/04-2970467 ,No Evaluation Presented in Source,Worchester,MA,General,Recommendations from Government,,Harm Reduction,Non-Governmental Community Organization,"Community,County",Domestic,Naloxone,General,APPROVED
248,Wyoming Department of Health's Opioid Overdose Response,Community Distribution of Naloxone,"""A new Wyoming Law (Wyoming §§ 35-4-901 through 35-5-906) allows pharmacists to prescribe Naloxone to lay individuals for the responding to opioid overdose. Any individual may ask a local pharmacist about obtaining Naloxone. First responders (firefighters, police officers, and EMTs) may apply for grant funding to obtain intranasal naloxone. First responders and bystanders (family, friends, and others) are encouraged to receive training on recognizing and responding to an opioid overdose and proper administration of Naloxone."" (Wyoming Department of Health, 2018) ","""A new Wyoming Law (Wyoming §§ 35-4-901 through 35-5-906) allows pharmacists to prescribe Naloxone to lay individuals for the responding to opioid overdose. Any individual may ask a local pharmacist about obtaining Naloxone. First responders (firefighters, police officers, and EMTs) may apply for grant funding to obtain intranasal naloxone. First responders and bystanders (family, friends, and others) are encouraged to receive training on recognizing and responding to an opioid overdose and proper administration of Naloxone."" (Wyoming Department of Health, 2018) ",https://health.wyo.gov/publichealth/prevention/substanceabuseandsuicide/opioid-information-wyoming/opioid-overdose-response/,Wyoming Department of Health. (2018). Opioid Overdose Response. Retrieved from https://health.wyo.gov/publichealth/prevention/substanceabuseandsuicide/opioid-information-wyoming/opioid-overdose-response/  ,No Evaluation Presented in Source,,WY,General,Other,,Harm Reduction,"Pharmacists,First Responders",State,Domestic,"Naloxone,Policy",General,APPROVED
249,EB HOPE Drop-In Centers,Other,"""The EB HOPE initiated Substance Abuse Outreach and Intervention Drop-In Center strives to proactively provide a gateway to professional resources for persons with substance use disorders (SUD) and friends and/or family members of persons with SUDs. Drop-In centers offer services including: (1) Free mental health triage counselor professionals on site, (2) Inpatient and outpatient levels of care and referrals, (3) Peer to peer support with EB HOPE Recovery Angels, (4) Family support through Learn To Cope, (5) Faith based support, and (6) On-site training of the proper use of nasal Naloxone. This program also sets the goal to inform the community at-large as to the severity of the opioid epidemic that we are presently confronted with and that this community, grass-roots organization is attempting to bring the availability of professional medical services to the “at risk” community members and their family"" (EB HOPE, 2011). This organization is listed under USDA's  rural opioid resources. ","""The EB HOPE initiated Substance Abuse Outreach and Intervention Drop-In Center strives to proactively provide a gateway to professional resources for persons with substance use disorders (SUD) and friends and/or family members of persons with SUDs. Drop-In centers offer services including: (1) Free mental health triage counselor professionals on site, (2) Inpatient and outpatient levels of care and referrals, (3) Peer to peer support with EB HOPE Recovery Angels, (4) Family support through Learn To Cope, (5) Faith based support, and (6) On-site training of the proper use of nasal Naloxone. This program also sets the goal to inform the community at-large as to the severity of the opioid epidemic that we are presently confronted with and that this community, grass-roots organization is attempting to bring the availability of professional medical services to the “at risk” community members and their family"" (EB HOPE, 2011). This organization is listed under USDA's  rural opioid resources. ",http://ebhopes.net,EB HOPE. (2011). EB HOPE Substance Abuse Help and Resources [Website]. Retrieved from http://ebhopes.net,No Evaluation,East Bridgewater,MA,General,Community Example,,"Prevention,Harm Reduction,Treatment,Recovery","Faith Communities,Non-Governmental Community Organization","Community,County",Domestic,"Cognitive Behavioral Therapy,Naloxone,Behavioral,Mental Health,Communication,Recovery Program,Outreach,Family Involvement,Wrap-Around Services",General,APPROVED
250,Learn to Cope,Recovery Programs and Support Groups,"Learn to Cope is a support group for parents and family members dealing with a loved one addicted to heroin, Oxycontin and other drugs. What started as a single peer-to-peer support group in Randolph, Massachusetts, has grown to include nearly 10,000 members registered nationally, and has become a nationally recognized model for peer support and prevention programming. While the cornerstone of Learn to Cope remains the weekly support meetings, the non-profit has become a national model for addiction treatment and prevention programming. Learn to Cope also maintains a private online message board for parents and other family members, along with a resource guide and other information about substance use. This reference is listed under USDA's rural opioid resources. ","Learn to Cope is a support group for parents and family members dealing with a loved one addicted to heroin, Oxycontin and other drugs. What started as a single peer-to-peer support group in Randolph, Massachusetts, has grown to include nearly 10,000 members registered nationally, and has become a nationally recognized model for peer support and prevention programming. While the cornerstone of Learn to Cope remains the weekly support meetings, the non-profit has become a national model for addiction treatment and prevention programming. Learn to Cope also maintains a private online message board for parents and other family members, along with a resource guide and other information about substance use. This reference is listed under USDA's rural opioid resources. ",https://www.learn2cope.org,Learn to Cope. (2004). Welcome [Website]. Retrieved from https://www.learn2cope.org,No Evaluation Presented in Source,Randolph,MA,General,Community Example,,"Harm Reduction,Recovery","Recovery Community,Non-Governmental Community Organization","Community,County",Domestic,"Family Involvement,Peer-Support",General,APPROVED
251,Mashpee Substance Use Task Force,Public Awareness Campaign,"The Mashpee Substance Use Task Force is a multi-disciplinary collaboration designed to promote community awareness of substance use through education, prevention and treatment to build a healthy, safe and drug-free community. Goals of the task force include: (1) Engaging the community with the wellness campaign, “It’s Never Too Early…Or Too Late” in order to prevent substance use and reduce the stigma associated with addiction, (2) educate the community about the individual and family treatment options available and connect those in need with treatment providers, (3) promote the safe disposal of prescription medications in order to decrease access for those struggling with addiction (Town of Mashpee Massachusetts, 2018). This reference is listed under USDA's opioid rural resources. ","The Mashpee Substance Use Task Force is a multi-disciplinary collaboration designed to promote community awareness of substance use through education, prevention and treatment to build a healthy, safe and drug-free community. Goals of the task force include: (1) Engaging the community with the wellness campaign, “It’s Never Too Early…Or Too Late” in order to prevent substance use and reduce the stigma associated with addiction, (2) educate the community about the individual and family treatment options available and connect those in need with treatment providers, (3) promote the safe disposal of prescription medications in order to decrease access for those struggling with addiction (Town of Mashpee Massachusetts, 2018). This reference is listed under USDA's opioid rural resources. ",https://www.mashpeema.gov/mashpee-substance-use-taskforce,Town of Mashpee Massachusetts. (2018). Mashpee Substance Use Taskforce [Webpage]. Retrieved from https://www.mashpeema.gov/mashpee-substance-use-taskforce,No Evaluation Presented in Source,Mashpee,MA,General,Community Example,,"Prevention,Harm Reduction,Treatment","Community Officials,County Officials,Public Health Officials","Community,County",Domestic,"Communication,Prescription Drug Disposal",General,APPROVED
252,Wyoming Medication Donation Program and Disposal,Drug Disposal Programs,"The Wyoming Medication Donation Program (WMDP) employs a strategy to reduce opioid abuse, medication waste and improve prescription access for low-income Wyoming residents who lack adequate prescription coverage. The WMDP provides immediate prescription help by re-dispensing acceptable donated medications, and providing advice on lower-cost alternatives (Wyoming Department of Health, 2018)","The Wyoming Medication Donation Program (WMDP) employs a strategy to reduce opioid abuse, medication waste and improve prescription access for low-income Wyoming residents who lack adequate prescription coverage. The WMDP provides immediate prescription help by re-dispensing acceptable donated medications, and providing advice on lower-cost alternatives (Wyoming Department of Health, 2018)",https://health.wyo.gov/healthcarefin/medicationdonation/,Wyoming Department of Health. (2018). Opioid Abuse Prevention. Retrieved from https://health.wyo.gov/publichealth/prevention/substanceabuseandsuicide/opioid-information-wyoming/opioid-abuse-prevention/,No Evaluation Presented in Source,,WY,General,Other,,Prevention,"Pharmacists,State Officials",State,Domestic,Prescription Drug Disposal,General,APPROVED
253,Massachusetts Organization for Addiction Recovery (MOAR),Recovery Programs and Support Groups,"The Massachusetts Organization for Addiction Recovery (MOAR) is a grass-roots organization started by volunteers on behalf of people in recovery and their families in 1991. The MOAR mission is to organize recovering individuals, families and friends into a collective voice to educate the public about the value of recovery from alcohol and other addictions. MOAR envisions a society where addiction is treated as a significant public health issue and recovery is recognized as valuable to all our communities (MOAR, 2014). This organization is listed under USDA's opioid resources. ","The Massachusetts Organization for Addiction Recovery (MOAR) is a grass-roots organization started by volunteers on behalf of people in recovery and their families in 1991. The MOAR mission is to organize recovering individuals, families and friends into a collective voice to educate the public about the value of recovery from alcohol and other addictions. MOAR envisions a society where addiction is treated as a significant public health issue and recovery is recognized as valuable to all our communities (MOAR, 2014). This organization is listed under USDA's opioid resources. ",http://www.moar-recovery.org,MOAR. (2014). MOAR Massachusetts Organization of Addiction Recovery [Website]. Retrieved from http://www.moar-recovery.org,Not Applicable,Boston,MA,Urban,Community Example,,"Prevention,Harm Reduction","Anti-Drug Coalition,Non-Governmental Community Organization","Community,County",Domestic,"Communication,Recovery Program,Housing,Outreach,Family Involvement,Peer-Support",General,APPROVED
254,Safe Coalition,Recovery Programs and Support Groups,"""SAFE is a regional coalition of community partners in Western Norfolk County (serving Franklin, Foxboro, Medway, Millis, Norfolk, Plainville, Walpole, Wrentham and surrounding towns) who have come together to provide a pathway for support, education, treatment options and coping mechanisms for those affected by substance use disorder. We do so by empowering those affected, including their families, with the tools necessary to succeed on their journey to recovery. We understand that while I can’t, we can"" (SAFE Coalition, 2018). This organization is listed under USDA's opioid resources. ","""SAFE is a regional coalition of community partners in Western Norfolk County (serving Franklin, Foxboro, Medway, Millis, Norfolk, Plainville, Walpole, Wrentham and surrounding towns) who have come together to provide a pathway for support, education, treatment options and coping mechanisms for those affected by substance use disorder. We do so by empowering those affected, including their families, with the tools necessary to succeed on their journey to recovery. We understand that while I can’t, we can"" (SAFE Coalition, 2018). This organization is listed under USDA's opioid resources. ",http://www.safecoalitionma.org/#,SAFE Coalition. (2018). [Website]. Retrieved from http://www.safecoalitionma.org/#,Not Applicable,Western Norfolk County,MA,Not Specified,Community Example,Not Specified in Source,"Prevention,Harm Reduction",Anti-Drug Coalition,"Community,County",Domestic,"Communication,Linkage to Services",General,APPROVED
255,The Hector Reyes House,Recovery Programs and Support Groups,"""The Hector Reyes House is a new model of residential substance abuse treatment. It will provide services for 25 Latino men. This program will offer in-house medical treatment, along with intensive cognitive behavioral therapy. It will address nationally recognized health care disparities, alleviate a shortage of treatment options for Latinos, offer training and employment options designed to promote recovery, and reduce the odds of relapse"" (The Hector Reyes House, 2018). This organization is listed under USDA's opioid resources. ","""The Hector Reyes House is a new model of residential substance abuse treatment. It will provide services for 25 Latino men. This program will offer in-house medical treatment, along with intensive cognitive behavioral therapy. It will address nationally recognized health care disparities, alleviate a shortage of treatment options for Latinos, offer training and employment options designed to promote recovery, and reduce the odds of relapse"" (The Hector Reyes House, 2018). This organization is listed under USDA's opioid resources. ",http://www.lahaworc.org,The Hector Reyes House. (2018). Programs [Webpage]. Retrieved from http://www.lahaworc.org/programs.html,Clearinghouse Endorsement,Worcester,MA,Not Specified,Community Example,Hispanic or Latino,"Treatment,Recovery","Anti-Drug Coalition,Non-Governmental Community Organization","Community,County",Domestic,"Cognitive Behavioral Therapy,Behavioral,Recovery Program,Housing",Adults,REJECTED
256,Talbot County Goes Purple,Public Awareness Campaign,"Talbot Goes Purple is a substance abuse awareness program that will engage our community and youth to stand against substance abuse. The project is based upon THP Project Purple, an initiative of The Herren Project, a 501(c)3 non-profit foundation established by former NBA basketball player, Chris Herren, that assists individuals and families struggling with addiction.  The project promotes education and awareness, including the creation of purple clubs in our high schools, through which students learn they do not need drugs or alcohol to meet life’s challenges. The project also encourages the ‘new conversation’ between teens and parents, one that includes messages that prescription painkillers aren’t safe to use recreationally Talbot Goes Purple is an initiative from Talbot County Sheriff’s Office and Tidewater Rotary, in partnership with Talbot County Public Schools and Mid-Shore Community Foundation (Talbot Goes Purple, 2018). This reference is listed under USDA's opioid resources. ","Talbot Goes Purple is a substance abuse awareness program that will engage our community and youth to stand against substance abuse. The project is based upon THP Project Purple, an initiative of The Herren Project, a 501(c)3 non-profit foundation established by former NBA basketball player, Chris Herren, that assists individuals and families struggling with addiction.  The project promotes education and awareness, including the creation of purple clubs in our high schools, through which students learn they do not need drugs or alcohol to meet life’s challenges. The project also encourages the ‘new conversation’ between teens and parents, one that includes messages that prescription painkillers aren’t safe to use recreationally Talbot Goes Purple is an initiative from Talbot County Sheriff’s Office and Tidewater Rotary, in partnership with Talbot County Public Schools and Mid-Shore Community Foundation (Talbot Goes Purple, 2018). This reference is listed under USDA's opioid resources. ",https://www.talbotgoespurple.org,Talbot Goes Purple. (2018). [Webpage]. Retrieved from https://www.talbotgoespurple.org,No Evaluation Presented in Source,Talbot,MD,Rural,Community Example,,"Prevention,Harm Reduction","County Officials,Police,Schools","Community,County",Domestic,Communication,Youth,APPROVED
257,The Worcester County Warriors Against Opiate Addiction,Public Awareness Campaign,"""The Worcester County Warriors (WOW) Against Opiate Addiction is a local grassroots organization providing education, support, awareness and navigation of resources to the people of Worcester County who have been impacted by opiate addiction. Part of WOW, the Warrior Angels, aims to model their structure based on the Operation Hope program from Maine. The angels are volunteers who assist individuals looking for treatment for an opiate addiction. They help search for treatment beds around the country and locate funding to help overcome obstacles to treatment. WOW holds monthly meetings spotlighting available resources and stories of hope. They have held many fundraisers allowing them to assist community members seeking recovery. They are available to speak at any type of conference or organizational meeting and have presented at numerous meetings and forums throughout the state, and even in Delaware, during 2017. At the end of 2017, WOW started to expand meetings to other areas of Worcester County (e.g. Snow Hill and Pocomoke)"" (Worcester County Health Department, 2018). This organization is listed under USDA's opioid resources. ","""The Worcester County Warriors (WOW) Against Opiate Addiction is a local grassroots organization providing education, support, awareness and navigation of resources to the people of Worcester County who have been impacted by opiate addiction. Part of WOW, the Warrior Angels, aims to model their structure based on the Operation Hope program from Maine. The angels are volunteers who assist individuals looking for treatment for an opiate addiction. They help search for treatment beds around the country and locate funding to help overcome obstacles to treatment. WOW holds monthly meetings spotlighting available resources and stories of hope. They have held many fundraisers allowing them to assist community members seeking recovery. They are available to speak at any type of conference or organizational meeting and have presented at numerous meetings and forums throughout the state, and even in Delaware, during 2017. At the end of 2017, WOW started to expand meetings to other areas of Worcester County (e.g. Snow Hill and Pocomoke)"" (Worcester County Health Department, 2018). This organization is listed under USDA's opioid resources. ",https://wocowarriors.org,"Worcester County Warriors. (2018). Fight Opiate Addiction in our Youth. {Website]. Retrieved from https://wocowarriors.org ; Worcester County Health Department. (2018). Worcester County, Maryland Heroin/Opioid Community Response Plan Revised April 2018 [PDF]. Retrieved from http://www.worcesterhealth.org/images/OpioidRevised2018.pdf",No Evaluation,Worcester,"DE,MD",Rural,Community Example,,"Harm Reduction,Treatment",Anti-Drug Coalition,Community,Domestic,Linkage to Services,General,APPROVED
258,Using Technology Assisted Care Coordination to Reduce Opioid Abuse and Treatment Costs,Tele-Health,"Abstract: ""A small study was conducted to pilot the use of an automated text messaging and phone call system to monitor patient opioid use behaviors and to reduce treatment costs.  The Technology Assisted Care Coordination (TACC) was developed to provide automated text messaging and phone call for patients receiving treatment for opioid addiction.  Twenty-one patients at Preferred Family Healthcare, a non-profit organization in Missouri, began using the services in early 2017.  Through text messages patients were asked about their opioid use behaviors within the last day or their urge to use.  Patients were also offered a ""panic button"" option for high-risk situations. Patients that report difficulty with managing their use or urge behaviors were asked follow-up questions which helped identify high risk patient.  Care providers were immediately notified of high risk patients and intervened via phone call or in-person appointment, however appropriate. Data was collected through the text messaging service to monitor opioid usage behaviors.  At the time of enrollment, 42% of patients reported substance use in the past 3 days, 41% report no use, and the remainder didn't respond. After 3 months,  substance use declined. By week 13, only 12% reported using, 50% reported no use, and 38% didn't respond.  Return on investment analysis revealed a 19% per patient cost saving due to the texting services.  The experiment demonstrates the potential for mobile health interventions to improve patient-caregiver relationships, reduce per-patient workload, and to  eventually assist in long-term recovery."" (Feltes, Push, & Som, 2018)","Abstract: ""A small study was conducted to pilot the use of an automated text messaging and phone call system to monitor patient opioid use behaviors and to reduce treatment costs.  The Technology Assisted Care Coordination (TACC) was developed to provide automated text messaging and phone call for patients receiving treatment for opioid addiction.  Twenty-one patients at Preferred Family Healthcare, a non-profit organization in Missouri, began using the services in early 2017.  Through text messages patients were asked about their opioid use behaviors within the last day or their urge to use.  Patients were also offered a ""panic button"" option for high-risk situations. Patients that report difficulty with managing their use or urge behaviors were asked follow-up questions which helped identify high risk patient.  Care providers were immediately notified of high risk patients and intervened via phone call or in-person appointment, however appropriate. Data was collected through the text messaging service to monitor opioid usage behaviors.  At the time of enrollment, 42% of patients reported substance use in the past 3 days, 41% report no use, and the remainder didn't respond. After 3 months,  substance use declined. By week 13, only 12% reported using, 50% reported no use, and 38% didn't respond.  Return on investment analysis revealed a 19% per patient cost saving due to the texting services.  The experiment demonstrates the potential for mobile health interventions to improve patient-caregiver relationships, reduce per-patient workload, and to  eventually assist in long-term recovery."" (Feltes, Push, & Som, 2018)",https://catalyst.nejm.org/substance-use-disorder-mobile-health/,"Feltes, J., Push, M., & Som, A. (2018). Messaging System Helps Caregivers Keep Tabs on Growing Number of Patients with Substance Use Disorder.  New England Journal of Medicine Catalyst. Retrieved from  https://catalyst.nejm.org/substance-use-disorder-mobile-health/ ",Evaluation Found Statistically Significant Benefit,St. Louis,MO,Not Specified,Community Example,,Prevention,Health Care Providers,Community,Domestic,Remote or Tele-Medicine,General,APPROVED
